district,population
Woj. Dolnoœl¹skie                  ,2891321
boles³awiecki          ,89762
dzier¿oniowski         ,99935
g³ogowski              ,88447
górowski               ,34552
jaworski               ,49734
jeleniogórski          ,63333
kamiennogórski         ,42824
k³odzki                ,156283
legnicki               ,55110
lubañski               ,53852
lubiñski               ,105896
lwówecki               ,45599
milicki                ,36800
oleœnicki              ,107268
o³awski                ,76733
polkowicki             ,62997
strzeliñski            ,43221
œredzki                ,55508
œwidnicki              ,156015
trzebnicki             ,85226
wa³brzyski             ,55107
wo³owski               ,46623
wroc³awski             ,156322
z¹bkowicki             ,64080
zgorzelecki            ,88386
z³otoryjski            ,43038
M.Jelenia Góra                ,78335
M.Legnica                     ,98436
M.Wroc³aw                     ,641928
M.Wa³brzych                   ,109971
Woj. Kujawsko-pomorskie            ,2061942
aleksandrowski         ,54891
brodnicki              ,79023
bydgoski               ,120432
che³miñski             ,51657
golubsko-dobrzyñski    ,44855
grudzi¹dzki            ,40305
inowroc³awski          ,158496
lipnowski              ,65450
mogileñski             ,45482
nakielski              ,86119
radziejowski           ,40025
rypiñski               ,43390
sêpoleñski             ,40826
œwiecki                ,98703
toruñski               ,109565
tucholski              ,48322
w¹brzeski              ,34040
w³oc³awski             ,85646
¿niñski                ,69886
M.Bydgoszcz                   ,344091
M.Grudzi¹dz                   ,93564
M.Toruñ                       ,198613
M.W³oc³awek                   ,108561
Woj. Lubelskie                     ,2095258
bialski                ,109958
bi³gorajski            ,100333
che³mski               ,77502
hrubieszowski          ,62009
janowski               ,45142
krasnostawski          ,62552
kraœnicki              ,94531
lubartowski            ,87850
lubelski               ,156493
³êczyñski              ,57218
³ukowski               ,106213
opolski                ,58706
parczewski             ,34372
pu³awski               ,112384
radzyñski              ,58298
rycki                  ,55530
œwidnicki              ,71432
tomaszowski            ,81944
w³odawski              ,37989
zamojski               ,105354
M.Bia³a Podlaska              ,56942
M.Che³m                       ,61135
M.Lublin                      ,338586
M.Zamoœæ                      ,62785
Woj. Lubuskie                      ,1007145
gorzowski              ,72291
kroœnieñski            ,54598
miêdzyrzecki           ,57100
nowosolski             ,85733
s³ubicki               ,46944
strzelecko-drezdenecki ,48621
sulêciñski             ,35000
œwiebodziñski          ,55520
wschowski              ,38613
zielonogórski          ,75673
¿agañski               ,78148
¿arski                 ,95423
M.Gorzów Wielkopolski         ,122589
M.Zielona Góra                ,140892
Woj. £ódzkie                       ,2437970
be³chatowski           ,112443
brzeziñski             ,30648
kutnowski              ,95516
³aski                  ,49736
³êczycki               ,49286
³owicki                ,77614
³ódzki wschodni        ,72565
opoczyñski             ,75524
pabianicki             ,118941
pajêczañski            ,50952
piotrkowski            ,91208
poddêbicki             ,40906
radomszczañski         ,111696
rawski                 ,48385
sieradzki              ,116918
skierniewicki          ,38173
tomaszowski            ,115735
wieluñski              ,75736
wieruszowski           ,41984
zduñskowolski          ,66064
zgierski               ,165850
M.£ódŸ                        ,672185
M.Piotrków Trybunalski        ,72250
M.Skierniewice                ,47655
Woj. Ma³opolskie                   ,3410441
bocheñski              ,106947
brzeski                ,93035
chrzanowski            ,123664
d¹browski              ,58977
gorlicki               ,108487
krakowski              ,281440
limanowski             ,132148
miechowski             ,48464
myœlenicki             ,127972
nowos¹decki            ,217071
nowotarski             ,191646
olkuski                ,110471
oœwiêcimski            ,152687
proszowicki            ,43057
suski                  ,83761
tarnowski              ,201230
tatrzañski             ,68049
wadowicki              ,159662
wielicki               ,130651
M.Kraków                      ,779966
M.Nowy S¹cz                   ,83558
M.Tarnów                      ,107498
Woj. Mazowieckie                   ,5425028
bia³obrzeski           ,33329
ciechanowski           ,88891
garwoliñski            ,108634
gostyniñski            ,44581
grodziski              ,97462
grójecki               ,97979
kozienicki             ,59592
legionowski            ,119882
lipski                 ,33598
³osicki                ,30556
makowski               ,44438
miñski                 ,154951
m³awski                ,72269
nowodworski            ,79265
ostro³êcki             ,88497
ostrowski              ,71790
otwocki                ,124283
piaseczyñski           ,190606
p³ocki                 ,110742
p³oñski                ,86671
pruszkowski            ,166679
przasnyski             ,52101
przysuski              ,41126
pu³tuski               ,51741
radomski               ,152190
siedlecki              ,81385
sierpecki              ,51534
sochaczewski           ,84804
soko³owski             ,53294
szyd³owiecki           ,39340
warszawski zachodni    ,120144
wêgrowski              ,65410
wo³omiñski             ,252408
wyszkowski             ,74210
zwoleñski              ,35875
¿uromiñski             ,38202
¿yrardowski            ,75370
M.Ostro³êka                   ,51656
M.P³ock                       ,118268
M.Radom                       ,209296
M.Siedlce                     ,77813
M.Warszawa                    ,1794166
Woj. Opolskie                      ,976774
brzeski                ,89282
g³ubczycki             ,45015
kêdzierzyñsko-kozielski,93001
kluczborski            ,65026
krapkowicki            ,63196
namys³owski            ,42543
nyski                  ,134864
oleski                 ,63788
opolski                ,123532
prudnicki              ,54765
strzelecki             ,73923
M.Opole                       ,127839
Woj. Podkarpackie                  ,2121229
bieszczadzki           ,21489
brzozowski             ,65373
dêbicki                ,134991
jaros³awski            ,119727
jasielski              ,112863
kolbuszowski           ,62039
kroœnieñski            ,111905
leski                  ,26375
le¿ajski               ,68996
lubaczowski            ,54711
³añcucki               ,81226
mielecki               ,136441
ni¿añski               ,66221
przemyski              ,73919
przeworski             ,77979
ropczycko-sêdziszowski ,74573
rzeszowski             ,170550
sanocki                ,93818
stalowowolski          ,105431
strzy¿owski            ,61161
tarnobrzeski           ,52720
M.Krosno                      ,45944
M.Przemyœl                    ,59779
M.Rzeszów                     ,196638
M.Tarnobrzeg                  ,46360
Woj. Podlaskie                     ,1173286
augustowski            ,57651
bia³ostocki            ,150845
bielski                ,53695
grajewski              ,46792
hajnowski              ,41991
kolneñski              ,37887
³om¿yñski              ,50819
moniecki               ,40070
sejneñski              ,19689
siemiatycki            ,43618
sokólski               ,65883
suwalski               ,35577
wysokomazowiecki       ,56408
zambrowski             ,43191
M.Bia³ystok                   ,296958
M.£om¿a                       ,62573
M.Suwa³ki                     ,69639
Woj. Pomorskie                     ,2346671
bytowski               ,79114
chojnicki              ,97661
cz³uchowski            ,55835
gdañski                ,120327
kartuski               ,141892
koœcierski             ,72923
kwidzyñski             ,82963
lêborski               ,66083
malborski              ,63204
nowodworski            ,35438
pucki                  ,87568
s³upski                ,98832
starogardzki           ,128210
sztumski               ,41104
tczewski               ,115220
wejherowski            ,219457
M.Gdañsk                      ,470805
M.Gdynia                      ,244969
M.S³upsk                      ,89780
M.Sopot                       ,35286
Woj. Œl¹skie                       ,4492330
bêdziñski              ,147259
bielski                ,166348
bieruñsko-lêdziñski    ,59823
cieszyñski             ,177536
czêstochowski          ,134106
gliwicki               ,115416
k³obucki               ,84330
lubliniecki            ,76109
miko³owski             ,99202
myszkowski             ,70486
pszczyñski             ,111814
raciborski             ,107410
rybnicki               ,78166
tarnogórski            ,140780
wodzis³awski           ,156579
zawierciañski          ,116672
¿ywiecki               ,152199
M.Bielsko-Bia³a               ,169756
M.Bytom                       ,163255
M.Chorzów                     ,106846
M.Czêstochowa                 ,217530
M.D¹browa Górnicza            ,118285
M.Gliwice                     ,177049
M.Jastrzêbie-Zdrój            ,88038
M.Jaworzno                    ,90368
M.Katowice                    ,290553
M.Mys³owice                   ,74559
M.Piekary Œl¹skie             ,54702
M.Ruda Œl¹ska                 ,136423
M.Rybnik                      ,137128
M.Siemianowice Œl¹skie        ,66270
M.Sosnowiec                   ,197586
M.Œwiêtoch³owice              ,49108
M.Tychy                       ,126871
M.Zabrze                      ,170924
M.¯ory                        ,62844
Woj. Œwiêtokrzyskie                ,1224626
buski                  ,71125
jêdrzejowski           ,84908
kazimierski            ,33340
kielecki               ,210992
konecki                ,79072
opatowski              ,51525
ostrowiecki            ,107711
piñczowski             ,38487
sandomierski           ,76346
skar¿yski              ,73163
starachowicki          ,88549
staszowski             ,71250
w³oszczowski           ,44743
M.Kielce                      ,193415
Woj. Warmiñsko-mazurskie           ,1416495
bartoszycki            ,56562
braniewski             ,40776
dzia³dowski            ,64768
elbl¹ski               ,56986
e³cki                  ,91395
gi¿ycki                ,56227
go³dapski              ,26489
i³awski                ,92644
kêtrzyñski             ,61772
lidzbarski             ,40852
mr¹gowski              ,49439
nidzicki               ,32638
nowomiejski            ,43721
olecki                 ,33993
olsztyñski             ,127544
ostródzki              ,103492
piski                  ,55833
szczycieñski           ,69089
wêgorzewski            ,22444
M.Elbl¹g                      ,118582
M.Olsztyn                     ,171249
Woj. Wielkopolskie                 ,3496450
chodzieski             ,46824
czarnkowsko-trzcianecki,86590
gnieŸnieñski           ,145068
gostyñski              ,75732
grodziski              ,51929
jarociñski             ,71425
kaliski                ,82911
kêpiñski               ,56298
kolski                 ,86108
koniñski               ,129904
koœciañski             ,78866
krotoszyñski           ,76998
leszczyñski            ,57911
miêdzychodzki          ,36633
nowotomyski            ,75576
obornicki              ,59821
ostrowski              ,161357
ostrzeszowski          ,55265
pilski                 ,135477
pleszewski             ,62763
poznañski              ,406590
rawicki                ,60188
s³upecki               ,58959
szamotulski            ,91745
œredzki                ,59149
œremski                ,61492
turecki                ,83599
w¹growiecki            ,70096
wolsztyñski            ,57431
wrzesiñski             ,78037
z³otowski              ,69161
M.Kalisz                      ,99106
M.Konin                       ,72539
M.Leszno                      ,62854
M.Poznañ                      ,532048
Woj. Zachodniopomorskie            ,1688047
bia³ogardzki           ,47304
choszczeñski           ,47970
drawski                ,56482
goleniowski            ,82310
gryficki               ,59844
gryfiñski              ,81289
kamieñski              ,46692
ko³obrzeski            ,79300
koszaliñski            ,66505
³obeski                ,36486
myœliborski            ,65373
policki                ,81584
pyrzycki               ,39202
s³awieñski             ,55777
stargardzki            ,120132
szczecinecki           ,77258
œwidwiñski             ,46394
wa³ecki                ,52707
M.Koszalin                    ,106235
M.Szczecin                    ,398255
M.Œwinoujœcie                 ,40948
